,City,Pop (2000),lat,lon
277,Acheng,157300,45.54,126.96
278,Daliang,156700,22.84,113.25
279,Boshan,156600,36.48,117.85
280,Dunhua,156600,43.35,128.22
281,Qianjiang,156000,30.43,112.89
282,Leshan,155800,29.57,103.74
283,Gaomi,155500,36.39,119.75
284,Linhai,154600,28.84,121.11
285,Guangshui,154300,31.62,114
286,Kaili,153200,26.58,107.92
287,Xinzhou,152900,38.41,112.72
288,Yichun2,152700,27.83,114.4
289,Dingzhou,152000,38.51,114.98
290,Karamay,150200,45.6,84.86
291,Xinji,149400,37.91,115.19
292,Gongzhuling,147900,43.51,124.81
293,Huangyan,147000,28.65,121.25
294,Huadian,145900,42.97,126.74
295,Jinhua,145800,29.12,119.65
296,Hanzhong,145700,33.13,107.03
297,Yushan,145700,31.64,120.73
298,Fuyu,145500,45.18,124.82
299,Huicheng,145300,22.52,113.02
300,Chizhou,144300,30.65,117.48
